"","continent","location","total_cases","total_deaths","total_deaths_per_million","total_tests_per_thousand","total_vaccinations_per_hundred","icu_patients_per_million","population","population_density","median_age","gdp_per_capita","extreme_poverty","female_smokers","male_smokers","life_expectancy"
"1","Asia","Afghanistan",5,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"2","Asia","Afghanistan",5,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"3","Asia","Afghanistan",5,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"4","Asia","Afghanistan",5,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"5","Asia","Afghanistan",5,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"6","Asia","Afghanistan",5,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"7","Asia","Afghanistan",5,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"8","Asia","Afghanistan",5,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"9","Asia","Afghanistan",5,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"10","Asia","Afghanistan",5,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"11","Asia","Afghanistan",5,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"12","Asia","Afghanistan",5,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"13","Asia","Afghanistan",8,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"14","Asia","Afghanistan",8,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"15","Asia","Afghanistan",8,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"16","Asia","Afghanistan",8,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"17","Asia","Afghanistan",11,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"18","Asia","Afghanistan",11,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"19","Asia","Afghanistan",11,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"20","Asia","Afghanistan",14,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"21","Asia","Afghanistan",20,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"22","Asia","Afghanistan",25,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"23","Asia","Afghanistan",26,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"24","Asia","Afghanistan",26,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"25","Asia","Afghanistan",26,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"26","Asia","Afghanistan",24,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"27","Asia","Afghanistan",24,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"28","Asia","Afghanistan",34,NA,NA,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"29","Asia","Afghanistan",40,1,0.025,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"30","Asia","Afghanistan",42,1,0.025,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"31","Asia","Afghanistan",74,1,0.025,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"32","Asia","Afghanistan",80,2,0.05,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"33","Asia","Afghanistan",91,2,0.05,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"34","Asia","Afghanistan",106,2,0.05,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"35","Asia","Afghanistan",114,4,0.1,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"36","Asia","Afghanistan",114,4,0.1,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"37","Asia","Afghanistan",166,4,0.1,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"38","Asia","Afghanistan",192,4,0.1,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"39","Asia","Afghanistan",235,4,0.1,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"40","Asia","Afghanistan",269,5,0.126,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"41","Asia","Afghanistan",270,5,0.126,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"42","Asia","Afghanistan",299,7,0.176,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"43","Asia","Afghanistan",337,7,0.176,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"44","Asia","Afghanistan",367,11,0.276,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"45","Asia","Afghanistan",423,14,0.351,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"46","Asia","Afghanistan",444,15,0.377,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"47","Asia","Afghanistan",521,15,0.377,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"48","Asia","Afghanistan",521,15,0.377,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"49","Asia","Afghanistan",555,18,0.452,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"50","Asia","Afghanistan",607,19,0.477,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"51","Asia","Afghanistan",665,22,0.552,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"52","Asia","Afghanistan",770,25,0.628,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"53","Asia","Afghanistan",794,29,0.728,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"54","Asia","Afghanistan",845,30,0.753,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"55","Asia","Afghanistan",908,30,0.753,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"56","Asia","Afghanistan",933,30,0.753,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"57","Asia","Afghanistan",996,33,0.828,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"58","Asia","Afghanistan",1026,36,0.904,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"59","Asia","Afghanistan",1092,36,0.904,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"60","Asia","Afghanistan",1176,40,1.004,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"61","Asia","Afghanistan",1226,40,1.004,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"62","Asia","Afghanistan",1330,43,1.079,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"63","Asia","Afghanistan",1463,49,1.23,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"64","Asia","Afghanistan",1531,50,1.255,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"65","Asia","Afghanistan",1703,60,1.506,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"66","Asia","Afghanistan",1827,60,1.506,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"67","Asia","Afghanistan",1827,60,1.506,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"68","Asia","Afghanistan",2171,64,1.607,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"69","Asia","Afghanistan",2469,72,1.807,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"70","Asia","Afghanistan",2469,72,1.807,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"71","Asia","Afghanistan",2469,72,1.807,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"72","Asia","Afghanistan",2469,72,1.807,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"73","Asia","Afghanistan",3224,95,2.385,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"74","Asia","Afghanistan",3392,104,2.611,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"75","Asia","Afghanistan",3563,105,2.636,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"76","Asia","Afghanistan",3563,105,2.636,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"77","Asia","Afghanistan",4402,119,2.987,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"78","Asia","Afghanistan",4664,120,3.012,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"79","Asia","Afghanistan",4967,127,3.188,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"80","Asia","Afghanistan",4967,127,3.188,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"81","Asia","Afghanistan",5339,136,3.414,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"82","Asia","Afghanistan",6053,153,3.841,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"83","Asia","Afghanistan",6402,168,4.217,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"84","Asia","Afghanistan",6635,169,4.242,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"85","Asia","Afghanistan",7072,173,4.343,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"86","Asia","Afghanistan",7655,177,4.443,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"87","Asia","Afghanistan",8145,187,4.694,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"88","Asia","Afghanistan",8676,193,4.845,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"89","Asia","Afghanistan",9216,205,5.146,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"90","Asia","Afghanistan",9952,215,5.397,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"91","Asia","Afghanistan",10668,222,5.573,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"92","Asia","Afghanistan",11180,223,5.598,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"93","Asia","Afghanistan",11917,224,5.623,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"94","Asia","Afghanistan",12465,230,5.774,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"95","Asia","Afghanistan",13102,239,6,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"96","Asia","Afghanistan",13745,250,6.276,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"97","Asia","Afghanistan",14529,252,6.326,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"98","Asia","Afghanistan",15180,254,6.376,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"99","Asia","Afghanistan",15836,269,6.753,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"100","Asia","Afghanistan",16578,274,6.878,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"101","Asia","Afghanistan",17353,298,7.481,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"102","Asia","Afghanistan",17977,303,7.606,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"103","Asia","Afghanistan",19055,313,7.857,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"104","Asia","Afghanistan",19637,331,8.309,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"105","Asia","Afghanistan",20428,361,9.062,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"106","Asia","Afghanistan",21003,373,9.364,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"107","Asia","Afghanistan",21308,380,9.539,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"108","Asia","Afghanistan",22228,409,10.267,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"109","Asia","Afghanistan",22976,430,10.794,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"110","Asia","Afghanistan",23632,450,11.296,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"111","Asia","Afghanistan",24188,455,11.422,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"112","Asia","Afghanistan",24852,475,11.924,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"113","Asia","Afghanistan",25613,480,12.05,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"114","Asia","Afghanistan",25719,488,12.25,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"115","Asia","Afghanistan",26960,508,12.752,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"116","Asia","Afghanistan",27423,550,13.807,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"117","Asia","Afghanistan",27964,552,13.857,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"118","Asia","Afghanistan",28383,552,13.857,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"119","Asia","Afghanistan",28919,585,14.685,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"120","Asia","Afghanistan",29229,602,15.112,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"121","Asia","Afghanistan",29567,622,15.614,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"122","Asia","Afghanistan",29726,643,16.141,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"123","Asia","Afghanistan",30261,679,17.045,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"124","Asia","Afghanistan",30346,684,17.171,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"125","Asia","Afghanistan",30702,707,17.748,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"126","Asia","Afghanistan",31053,733,18.401,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"127","Asia","Afghanistan",31324,737,18.501,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"128","Asia","Afghanistan",31445,739,18.551,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"129","Asia","Afghanistan",31848,778,19.53,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"130","Asia","Afghanistan",32108,811,20.359,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"131","Asia","Afghanistan",32410,823,20.66,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"132","Asia","Afghanistan",32758,830,20.836,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"133","Asia","Afghanistan",33037,868,21.79,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"134","Asia","Afghanistan",33150,891,22.367,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"135","Asia","Afghanistan",33470,924,23.195,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"136","Asia","Afghanistan",33680,940,23.597,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"137","Asia","Afghanistan",33739,941,23.622,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"138","Asia","Afghanistan",34280,975,24.476,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"139","Asia","Afghanistan",34437,979,24.576,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"140","Asia","Afghanistan",34537,1014,25.455,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"141","Asia","Afghanistan",34541,1016,25.505,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"142","Asia","Afghanistan",34826,1049,26.333,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"143","Asia","Afghanistan",35026,1098,27.563,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"144","Asia","Afghanistan",35156,1117,28.04,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"145","Asia","Afghanistan",35315,1151,28.894,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"146","Asia","Afghanistan",35375,1151,28.894,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"147","Asia","Afghanistan",35561,1185,29.747,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"148","Asia","Afghanistan",35595,1187,29.798,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"149","Asia","Afghanistan",35701,1188,29.823,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"150","Asia","Afghanistan",35813,1194,29.973,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"151","Asia","Afghanistan",36001,1215,30.5,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"152","Asia","Afghanistan",36067,1229,30.852,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"153","Asia","Afghanistan",36122,1250,31.379,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"154","Asia","Afghanistan",36243,1263,31.705,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"155","Asia","Afghanistan",36349,1273,31.956,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"156","Asia","Afghanistan",36454,1274,31.982,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"157","Asia","Afghanistan",36557,1275,32.007,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"158","Asia","Afghanistan",36628,1275,32.007,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"159","Asia","Afghanistan",36628,1275,32.007,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"160","Asia","Afghanistan",36796,1287,32.308,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"161","Asia","Afghanistan",36796,1287,32.308,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"162","Asia","Afghanistan",36796,1287,32.308,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"163","Asia","Afghanistan",36833,1292,32.433,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"164","Asia","Afghanistan",36915,1298,32.584,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"165","Asia","Afghanistan",36982,1302,32.684,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"166","Asia","Afghanistan",37023,1302,32.684,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"167","Asia","Afghanistan",37101,1311,32.91,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"168","Asia","Afghanistan",37140,1316,33.036,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"169","Asia","Afghanistan",37140,1316,33.036,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"170","Asia","Afghanistan",37355,1348,33.839,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"171","Asia","Afghanistan",37431,1358,34.09,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"172","Asia","Afghanistan",37510,1367,34.316,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"173","Asia","Afghanistan",37517,1367,34.316,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"174","Asia","Afghanistan",37637,1374,34.492,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"175","Asia","Afghanistan",37682,1379,34.617,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"176","Asia","Afghanistan",37682,1379,34.617,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"177","Asia","Afghanistan",37685,1379,34.617,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"178","Asia","Afghanistan",37685,1379,34.617,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"179","Asia","Afghanistan",37845,1387,34.818,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"180","Asia","Afghanistan",37942,1389,34.868,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"181","Asia","Afghanistan",37980,1389,34.868,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"182","Asia","Afghanistan",38039,1389,34.868,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"183","Asia","Afghanistan",38085,1391,34.919,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"184","Asia","Afghanistan",38156,1401,35.17,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"185","Asia","Afghanistan",38199,1405,35.27,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"186","Asia","Afghanistan",38215,1405,35.27,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"187","Asia","Afghanistan",38226,1406,35.295,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"188","Asia","Afghanistan",38229,1406,35.295,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"189","Asia","Afghanistan",38229,1406,35.295,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"190","Asia","Afghanistan",38248,1406,35.295,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"191","Asia","Afghanistan",38282,1410,35.396,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"192","Asia","Afghanistan",38329,1413,35.471,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"193","Asia","Afghanistan",38374,1413,35.471,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"194","Asia","Afghanistan",38374,1413,35.471,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"195","Asia","Afghanistan",38390,1413,35.471,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"196","Asia","Afghanistan",38484,1416,35.546,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"197","Asia","Afghanistan",38580,1419,35.622,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"198","Asia","Afghanistan",38606,1422,35.697,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"199","Asia","Afghanistan",38630,1424,35.747,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"200","Asia","Afghanistan",38658,1424,35.747,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"201","Asia","Afghanistan",38692,1424,35.747,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"202","Asia","Afghanistan",38727,1424,35.747,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"203","Asia","Afghanistan",38802,1424,35.747,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"204","Asia","Afghanistan",38858,1429,35.873,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"205","Asia","Afghanistan",38901,1430,35.898,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"206","Asia","Afghanistan",38941,1440,36.149,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"207","Asia","Afghanistan",38958,1440,36.149,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"208","Asia","Afghanistan",38969,1441,36.174,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"209","Asia","Afghanistan",39005,1441,36.174,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"210","Asia","Afghanistan",39130,1445,36.274,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"211","Asia","Afghanistan",39160,1448,36.35,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"212","Asia","Afghanistan",39182,1449,36.375,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"213","Asia","Afghanistan",39231,1450,36.4,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"214","Asia","Afghanistan",39256,1455,36.525,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"215","Asia","Afghanistan",39272,1455,36.525,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"216","Asia","Afghanistan",39278,1457,36.575,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"217","Asia","Afghanistan",39313,1457,36.575,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"218","Asia","Afghanistan",39325,1460,36.651,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"219","Asia","Afghanistan",39340,1462,36.701,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"220","Asia","Afghanistan",39354,1462,36.701,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"221","Asia","Afghanistan",39371,1462,36.701,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"222","Asia","Afghanistan",39376,1462,36.701,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
"223","Asia","Afghanistan",39383,1466,36.801,NA,NA,NA,39835428,54.422,18.6,1803.987,NA,NA,NA,64.83
